2025-09-15 15:44:52,638 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:44:52,638 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:44:52,639 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:44:52,640 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:44:52,641 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:44:52,641 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:44:52,642 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:44:52,643 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:45:02,845 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:15:02 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:45:02,846 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:45:02,847 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:45:02,847 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:45:02,848 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:45:02,849 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:45:02,850 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:45:02,850 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:45:02,851 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:45:02,851 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:45:08,236 | DEBUG | strategy | Candle Time: 2025-09-15 10:15:00 | Close: 114806.0
Previous EMA 9: 114811.47851663074, Current EMA 9: 114810.38281330459
Previous EMA 20: 114830.36555789954, Current EMA 20: 114828.04502857577
2025-09-15 15:45:13,064 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:15:12 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:45:13,065 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:45:13,065 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:45:13,065 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:45:13,065 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:45:13,066 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:45:13,067 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:45:13,067 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:45:13,067 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:45:13,068 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:45:23,286 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:15:22 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:45:23,290 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:45:23,291 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:45:23,292 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:45:23,292 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:45:23,294 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:45:23,294 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:45:23,295 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:45:23,295 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:45:23,296 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:45:33,507 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:15:32 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:45:33,508 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:45:33,508 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:45:33,509 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:45:33,509 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:45:33,510 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:45:33,511 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:45:33,511 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:45:33,511 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:45:33,511 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:45:43,726 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:15:43 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:45:43,727 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:45:43,727 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:45:43,727 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:45:43,728 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:45:43,729 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:45:43,729 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:45:43,729 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:45:43,730 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:45:43,730 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:45:53,937 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:15:53 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:45:53,941 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:45:53,942 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:45:53,942 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:45:53,943 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:45:53,945 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:45:53,947 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:45:53,948 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:45:53,948 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:45:53,949 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:46:01,181 | DEBUG | strategy | Candle Time: 2025-09-15 10:16:00 | Close: 114882.5
Previous EMA 9: 114825.6828133046, Current EMA 9: 114837.04625064367
Previous EMA 20: 114835.33074286148, Current EMA 20: 114839.82305306515
2025-09-15 15:46:04,154 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:16:03 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:46:04,155 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:46:04,156 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:46:04,156 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:46:04,156 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:46:04,157 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:46:04,158 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:46:04,158 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:46:04,158 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:46:04,158 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:46:14,441 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:16:13 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:46:14,441 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:46:14,441 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:46:14,442 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:46:14,442 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:46:14,443 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:46:14,443 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:46:14,443 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:46:14,444 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:46:14,444 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
